,part,sex,group,age_months,condition,ME13
480,CH12,M,2,167,NORM_ME13,64.06
481,CH24,F,2,192,NORM_ME13,60.49
482,CH25,F,2,193,NORM_ME13,64.27
483,CH26,F,2,215,NORM_ME13,63.64
484,CH27,F,2,215,NORM_ME13,64.83
485,CH28,F,2,195,NORM_ME13,64.25
486,CH29,F,2,207,NORM_ME13,66.59
487,CH30,M,2,206,NORM_ME13,62.19
488,CH31,M,2,212,NORM_ME13,57.6
489,CH34,F,2,184,NORM_ME13,63.74
490,CH35,F,2,171,NORM_ME13,63.85
491,YA01,F,3,277,NORM_ME13,65
492,YA02,F,3,318,NORM_ME13,62.33
493,YA03,F,3,265,NORM_ME13,64.09
494,YA04,F,3,264,NORM_ME13,64.92
495,YA05,F,3,257,NORM_ME13,66.08
496,YA06,F,3,295,NORM_ME13,57.65
497,YA07,F,3,258,NORM_ME13,67.97
498,YA08,F,3,267,NORM_ME13,67.44
499,YA09,F,3,271,NORM_ME13,62.53
500,YA10,F,3,241,NORM_ME13,66.69
501,YA11,M,3,269,NORM_ME13,61.69
502,YA12,M,3,266,NORM_ME13,67.76
503,YA13,M,3,242,NORM_ME13,59.75
504,YA14,M,3,266,NORM_ME13,63.82
505,YA15,M,3,233,NORM_ME13,63.07
506,YA16,M,3,244,NORM_ME13,64.32
507,YA17,M,3,230,NORM_ME13,59.35
508,YA18,M,3,244,NORM_ME13,63.86
509,YA19,M,3,277,NORM_ME13,64.02
510,YA20,M,3,241,NORM_ME13,60.02
511,MA01,F,4,436,NORM_ME13,65.65
512,MA02,F,4,476,NORM_ME13,65.67
513,MA03,F,4,441,NORM_ME13,65.99
514,MA04,F,4,431,NORM_ME13,64.7
515,MA05,M,4,467,NORM_ME13,67.46
516,MA06,M,4,506,NORM_ME13,57.67
517,MA11,F,4,596,NORM_ME13,63.48
518,MA12,F,4,599,NORM_ME13,69.1
519,MA13,F,4,557,NORM_ME13,63.01
520,MA14,F,4,554,NORM_ME13,63.99
521,MA15,M,4,597,NORM_ME13,64.36
522,MA16,M,4,515,NORM_ME13,63.93
523,MA17,M,4,573,NORM_ME13,59.67
524,MA18,M,4,558,NORM_ME13,65.97
525,MA19,M,4,432,NORM_ME13,60.03
526,MA20,M,4,438,NORM_ME13,62.07
527,MA21,M,4,588,NORM_ME13,65.74
528,MA22,M,4,547,NORM_ME13,64.07
529,MA23,F,4,488,NORM_ME13,65.07
530,MA24,F,4,528,NORM_ME13,67.93
531,OA01,F,5,774,NORM_ME13,62.68
532,OA02,F,5,745,NORM_ME13,69.56
533,OA05,F,5,705,NORM_ME13,65.79
534,OA06,F,5,717,NORM_ME13,63.94
535,OA07,F,5,708,NORM_ME13,65.01
536,OA08,F,5,708,NORM_ME13,66.51
537,OA26,F,5,779,NORM_ME13,63.44
538,OA27,F,5,780,NORM_ME13,65.56
539,OA32,F,5,771,NORM_ME13,65.07
540,OA33,F,5,732,NORM_ME13,68.26
541,OA39,M,5,715,NORM_ME13,63.09
542,OA40,M,5,733,NORM_ME13,65.4
543,OA41,M,5,641,NORM_ME13,58.7
544,OA42,M,5,685,NORM_ME13,63.9
545,OA43,M,5,613,NORM_ME13,60.2
546,OA44,M,5,656,NORM_ME13,59.37
547,OA45,M,5,770,NORM_ME13,57.25
548,OA46,M,5,705,NORM_ME13,62.08
549,OA47,M,5,649,NORM_ME13,57.85
550,OA48,M,5,643,NORM_ME13,63.49
551,OA09,F,6,920,NORM_ME13,64.82
552,OA11,F,6,884,NORM_ME13,61.88
553,OA13,F,6,858,NORM_ME13,64.68
554,OA14,F,6,820,NORM_ME13,67.35
555,OA15,F,6,893,NORM_ME13,64.41
556,OA16,F,6,801,NORM_ME13,62.24
557,OA17,M,6,819,NORM_ME13,61.96
558,OA18,M,6,834,NORM_ME13,61.2
559,OA20,M,6,903,NORM_ME13,61.43
560,OA21,M,6,797,NORM_ME13,62.57
561,OA23,M,6,913,NORM_ME13,65.65
562,OA24,F,6,892,NORM_ME13,66.72
563,OA25,F,6,895,NORM_ME13,69.57
564,OA29,M,6,781,NORM_ME13,57.07
565,OA30,F,6,799,NORM_ME13,67.65
566,OA31,F,6,893,NORM_ME13,66.13
567,OA34,M,6,787,NORM_ME13,64.18
568,OA35,M,6,830,NORM_ME13,64.12
569,OA36,M,6,800,NORM_ME13,62.38
570,OA37,M,6,949,NORM_ME13,65.69
571,CH01,F,1,115,IMRE_diff,4.73
572,CH02,F,1,114,IMRE_diff,3.38
573,CH05,M,1,135,IMRE_diff,3.33
574,CH06,M,1,136,IMRE_diff,8.72
575,CH07,F,1,97,IMRE_diff,1.67
576,CH08,F,1,100,IMRE_diff,1.46
577,CH09,M,1,145,IMRE_diff,3.87
578,CH10,M,1,144,IMRE_diff,2.82
579,CH13,M,1,98,IMRE_diff,2.44
580,CH15,M,1,98,IMRE_diff,0.83
581,CH16,M,1,124,IMRE_diff,2.68
582,CH17,M,1,140,IMRE_diff,1.05
583,CH18,F,1,104,IMRE_diff,2.66
584,CH19,F,1,99,IMRE_diff,4
585,CH20,F,1,155,IMRE_diff,3.35
586,CH21,F,1,153,IMRE_diff,1.97
587,CH22,M,1,126,IMRE_diff,4.13
588,CH23,M,1,132,IMRE_diff,2.27
589,CH32,F,1,127,IMRE_diff,2.44
590,CH33,F,1,135,IMRE_diff,1
591,CH03,F,2,176,IMRE_diff,3.65
592,CH04,F,2,185,IMRE_diff,2.47
593,CH11,M,2,170,IMRE_diff,1.47
594,CH12,M,2,167,IMRE_diff,3.21
595,CH24,F,2,192,IMRE_diff,4.84
596,CH25,F,2,193,IMRE_diff,2.07
597,CH26,F,2,215,IMRE_diff,4.2
598,CH27,F,2,215,IMRE_diff,2.25
599,CH28,F,2,195,IMRE_diff,4.66
600,CH29,F,2,207,IMRE_diff,2.28
601,CH30,M,2,206,IMRE_diff,3.72
602,CH31,M,2,212,IMRE_diff,-0.92
603,CH34,F,2,184,IMRE_diff,3.4
604,CH35,F,2,171,IMRE_diff,3.58
605,YA01,F,3,277,IMRE_diff,3.2
606,YA02,F,3,318,IMRE_diff,5.13
607,YA03,F,3,265,IMRE_diff,3.11
608,YA04,F,3,264,IMRE_diff,4.83
